"Date","Price","Open","High","Low","Change %"
"Sep 04, 2018","9.0910","9.1239","9.1278","9.0489","-0.36%"
"Sep 03, 2018","9.1241","9.1017","9.1281","9.0915","0.18%"
"Aug 31, 2018","9.1073","9.1609","9.1771","9.0929","-0.58%"
"Aug 30, 2018","9.1602","9.1881","9.1976","9.1357","-0.32%"
"Aug 29, 2018","9.1895","9.1803","9.1924","9.1461","0.10%"
"Aug 28, 2018","9.1801","9.1670","9.2119","9.1547","0.14%"
"Aug 27, 2018","9.1670","9.1296","9.1799","9.0998","0.48%"
"Aug 24, 2018","9.1230","9.0583","9.1384","9.0536","0.71%"
"Aug 23, 2018","9.0585","9.1012","9.1049","9.0496","-0.49%"
"Aug 22, 2018","9.1031","9.0816","9.1245","9.0673","0.22%"
"Aug 21, 2018","9.0828","9.0128","9.1070","9.0104","0.78%"
"Aug 20, 2018","9.0127","8.9814","9.0165","8.9438","0.39%"
"Aug 17, 2018","8.9776","8.9298","8.9848","8.9201","0.52%"
"Aug 16, 2018","8.9308","8.9062","8.9574","8.8978","0.28%"
"Aug 15, 2018","8.9058","8.9047","8.9154","8.8696","0.01%"
"Aug 14, 2018","8.9049","8.9567","8.9735","8.8941","-0.57%"
"Aug 13, 2018","8.9559","8.9403","8.9758","8.9206","-0.02%"
"Aug 10, 2018","8.9575","9.0483","9.0565","8.9363","-1.00%"
"Aug 09, 2018","9.0483","9.1137","9.1212","9.0471","-0.72%"
"Aug 08, 2018","9.1137","9.1041","9.1286","9.0831","0.10%"
"Aug 07, 2018","9.1049","9.0696","9.1131","9.0634","0.40%"
"Aug 06, 2018","9.0685","9.0825","9.0841","9.0483","-0.12%"
"Aug 03, 2018","9.0794","9.0922","9.1140","9.0730","-0.15%"
"Aug 02, 2018","9.0931","9.1514","9.1598","9.0914","-0.64%"
"Aug 01, 2018","9.1515","9.1767","9.1851","9.1484","-0.27%"
"Jul 31, 2018","9.1767","9.1877","9.2187","9.1685","-0.12%"
"Jul 30, 2018","9.1875","9.1515","9.1992","9.1420","0.43%"
"Jul 27, 2018","9.1486","9.1363","9.1541","9.1199","0.13%"
"Jul 26, 2018","9.1371","9.2019","9.2152","9.1342","-0.70%"
"Jul 25, 2018","9.2019","9.1685","9.2102","9.1502","0.35%"
"Jul 24, 2018","9.1698","9.1761","9.1961","9.1436","-0.07%"
"Jul 23, 2018","9.1760","9.2062","9.2235","9.1686","-0.26%"
"Jul 20, 2018","9.1999","9.1401","9.2157","9.1253","0.66%"
"Jul 19, 2018","9.1393","9.1371","9.1685","9.0854","0.04%"
"Jul 18, 2018","9.1356","9.1526","9.1576","9.1071","-0.19%"
"Jul 17, 2018","9.1526","9.1919","9.2194","9.1439","-0.42%"
"Jul 16, 2018","9.1912","9.1640","9.2040","9.1623","0.21%"
"Jul 13, 2018","9.1715","9.1592","9.1740","9.1129","0.11%"
"Jul 12, 2018","9.1616","9.1631","9.1807","9.1420","-0.02%"
"Jul 11, 2018","9.1631","9.2176","9.2303","9.1559","-0.59%"
"Jul 10, 2018","9.2171","9.2230","9.2334","9.1746","-0.06%"
"Jul 09, 2018","9.2229","9.2200","9.2553","9.2075","0.04%"
"Jul 06, 2018","9.2194","9.1735","9.2365","9.1667","0.50%"
"Jul 05, 2018","9.1739","9.1417","9.1989","9.1387","0.34%"
"Jul 04, 2018","9.1424","9.1456","9.1637","9.1205","-0.03%"
"Jul 03, 2018","9.1449","9.1316","9.1601","9.1175","0.15%"
"Jul 02, 2018","9.1311","9.1412","9.1784","9.0922","-0.41%"
"Jun 29, 2018","9.1684","9.0794","9.1738","9.0708","0.98%"
"Jun 28, 2018","9.0793","9.0681","9.1054","9.0454","0.13%"
"Jun 27, 2018","9.0671","9.1412","9.1603","9.0569","-0.82%"
"Jun 26, 2018","9.1420","9.1837","9.1989","9.1312","-0.46%"
"Jun 25, 2018","9.1840","9.1464","9.1931","9.1234","0.41%"
"Jun 22, 2018","9.1464","9.1044","9.1622","9.0997","0.47%"
"Jun 21, 2018","9.1037","9.0799","9.1280","9.0295","0.26%"
"Jun 20, 2018","9.0798","9.0972","9.1040","9.0543","-0.19%"
"Jun 19, 2018","9.0973","9.1242","9.1415","9.0508","-0.29%"
"Jun 18, 2018","9.1237","9.1122","9.1253","9.0767","0.13%"
"Jun 15, 2018","9.1122","9.0808","9.1286","9.0602","0.35%"
"Jun 14, 2018","9.0808","9.2539","9.3027","9.0753","-1.87%"
"Jun 13, 2018","9.2539","9.2165","9.2635","9.2023","0.41%"
"Jun 12, 2018","9.2165","9.2467","9.2684","9.2067","-0.32%"
"Jun 11, 2018","9.2463","9.2314","9.2759","9.2218","0.15%"
"Jun 08, 2018","9.2328","9.2574","9.2669","9.2000","-0.27%"
"Jun 07, 2018","9.2576","9.2403","9.2912","9.2375","0.20%"
"Jun 06, 2018","9.2393","9.1944","9.2576","9.1876","0.48%"
"Jun 05, 2018","9.1956","9.1777","9.2079","9.1430","0.19%"
"Jun 04, 2018","9.1782","9.1445","9.2154","9.1420","0.33%"
"Jun 01, 2018","9.1480","9.1702","9.1937","9.1133","-0.25%"
"May 31, 2018","9.1705","9.1542","9.2025","9.1314","0.20%"
"May 30, 2018","9.1524","9.0539","9.1639","9.0368","1.09%"
"May 29, 2018","9.0539","9.1199","9.1337","9.0300","-0.71%"
"May 28, 2018","9.1190","9.1413","9.2012","9.1055","-0.25%"
"May 25, 2018","9.1418","9.1976","9.2074","9.1364","-0.60%"
"May 24, 2018","9.1973","9.1811","9.2211","9.1739","0.18%"
"May 23, 2018","9.1807","9.2451","9.2549","9.1644","-0.71%"
