"Date","Price","Open","High","Low","Change %"
"Feb 21, 2019","7.6175","7.6165","7.6347","7.5893","-0.03%"
"Feb 20, 2019","7.6199","7.6663","7.6785","7.6152","-0.59%"
"Feb 19, 2019","7.6650","7.6548","7.6765","7.6267","0.15%"
"Feb 18, 2019","7.6534","7.6414","7.6694","7.6387","0.05%"
"Feb 15, 2019","7.6494","7.6536","7.6651","7.6090","-0.00%"
"Feb 14, 2019","7.6495","7.6171","7.6602","7.6036","0.48%"
"Feb 13, 2019","7.6128","7.6707","7.6814","7.6109","-0.77%"
"Feb 12, 2019","7.6719","7.6612","7.6834","7.6307","0.17%"
"Feb 11, 2019","7.6590","7.6399","7.6890","7.6297","0.22%"
"Feb 08, 2019","7.6422","7.6490","7.6584","7.6348","-0.14%"
"Feb 07, 2019","7.6530","7.6631","7.6732","7.6375","-0.14%"
"Feb 06, 2019","7.6635","7.6932","7.7025","7.6615","-0.46%"
"Feb 05, 2019","7.6989","7.7157","7.7264","7.6886","-0.22%"
"Feb 04, 2019","7.7157","7.7272","7.7346","7.7036","-0.14%"
"Feb 01, 2019","7.7268","7.6665","7.7497","7.6626","0.74%"
"Jan 31, 2019","7.6704","7.7099","7.7233","7.6610","-0.51%"
"Jan 30, 2019","7.7096","7.7002","7.7264","7.6604","0.16%"
"Jan 29, 2019","7.6970","7.7110","7.7210","7.6822","-0.14%"
"Jan 28, 2019","7.7078","7.6950","7.7214","7.6731","0.15%"
"Jan 25, 2019","7.6966","7.6723","7.7061","7.6506","0.28%"
"Jan 24, 2019","7.6750","7.7324","7.7446","7.6623","-0.71%"
"Jan 23, 2019","7.7300","7.7342","7.7465","7.6976","-0.04%"
"Jan 22, 2019","7.7332","7.7205","7.7441","7.7161","0.08%"
"Jan 21, 2019","7.7270","7.7101","7.7409","7.7040","0.31%"
"Jan 18, 2019","7.7030","7.7226","7.7360","7.6955","-0.24%"
"Jan 17, 2019","7.7214","7.6982","7.7282","7.6901","0.25%"
"Jan 16, 2019","7.7024","7.7203","7.7348","7.6936","-0.18%"
"Jan 15, 2019","7.7164","7.7645","7.7754","7.6940","-0.66%"
"Jan 14, 2019","7.7674","7.7557","7.7714","7.7267","0.14%"
"Jan 11, 2019","7.7565","7.8088","7.8224","7.7484","-0.64%"
"Jan 10, 2019","7.8068","7.8639","7.8803","7.7966","-0.77%"
"Jan 09, 2019","7.8676","7.8461","7.8764","7.8157","0.33%"
"Jan 08, 2019","7.8415","7.8627","7.8701","7.8277","-0.26%"
"Jan 07, 2019","7.8618","7.8228","7.8688","7.8136","0.44%"
"Jan 04, 2019","7.8274","7.8312","7.8457","7.7977","-0.03%"
"Jan 03, 2019","7.8300","7.7838","7.8431","7.7591","0.59%"
"Jan 02, 2019","7.7839","7.8850","7.8898","7.7715","-1.29%"
"Jan 01, 2019","7.8855","7.8869","7.9439","7.8587","-0.06%"
"Dec 31, 2018","7.8900","7.8714","7.8900","7.8563","0.24%"
"Dec 28, 2018","7.8711","7.8501","7.8895","7.8453","0.28%"
"Dec 27, 2018","7.8488","7.8175","7.8666","7.8022","0.41%"
"Dec 26, 2018","7.8170","7.8256","7.8678","7.8094","-0.11%"
"Dec 25, 2018","7.8255","7.8646","7.8777","7.8198","-0.50%"
"Dec 24, 2018","7.8647","7.8526","7.8918","7.8388","0.13%"
"Dec 21, 2018","7.8544","7.8804","7.9218","7.8399","-0.33%"
"Dec 20, 2018","7.8807","7.8427","7.9135","7.8386","0.50%"
"Dec 19, 2018","7.8412","7.8327","7.8849","7.8319","0.09%"
"Dec 18, 2018","7.8339","7.8261","7.8632","7.8179","0.09%"
"Dec 17, 2018","7.8266","7.8097","7.8349","7.7975","0.18%"
"Dec 14, 2018","7.8122","7.8195","7.8361","7.7792","-0.10%"
"Dec 13, 2018","7.8199","7.8218","7.8408","7.7979","-0.02%"
"Dec 12, 2018","7.8216","7.8059","7.8353","7.7905","0.17%"
"Dec 11, 2018","7.8087","7.8466","7.8715","7.7991","-0.52%"
"Dec 10, 2018","7.8494","7.8412","7.9066","7.8261","0.33%"
"Dec 07, 2018","7.8232","7.8319","7.8578","7.8140","-0.08%"
