"Date","Price","Open","High","Low","Change %"
"Jul 11, 2019","7.8229","7.8187","7.8239","7.8151","0.06%"
"Jul 10, 2019","7.8185","7.8080","7.8191","7.8078","0.14%"
"Jul 09, 2019","7.8079","7.7991","7.8120","7.7988","0.11%"
"Jul 08, 2019","7.7992","7.7961","7.8016","7.7958","0.04%"
"Jul 05, 2019","7.7958","7.7867","7.7975","7.7851","0.12%"
"Jul 04, 2019","7.7867","7.7981","7.7984","7.7826","-0.14%"
"Jul 03, 2019","7.7979","7.7983","7.8007","7.7950","-0.01%"
"Jul 02, 2019","7.7984","7.8133","7.8155","7.7981","-0.19%"
"Jul 01, 2019","7.8129","7.8126","7.8140","7.8075","-0.00%"
"Jun 28, 2019","7.8132","7.8155","7.8163","7.8064","-0.03%"
"Jun 27, 2019","7.8152","7.8083","7.8158","7.8078","0.09%"
"Jun 26, 2019","7.8082","7.8109","7.8125","7.8061","-0.03%"
"Jun 25, 2019","7.8102","7.8103","7.8121","7.8049","0.00%"
"Jun 24, 2019","7.8102","7.8138","7.8168","7.8080","-0.05%"
"Jun 21, 2019","7.8144","7.8148","7.8153","7.8025","0.02%"
"Jun 20, 2019","7.8125","7.8242","7.8251","7.8117","-0.15%"
"Jun 19, 2019","7.8240","7.8316","7.8330","7.8224","-0.09%"
"Jun 18, 2019","7.8314","7.8336","7.8350","7.8311","-0.03%"
"Jun 17, 2019","7.8335","7.8275","7.8346","7.8273","0.07%"
"Jun 14, 2019","7.8281","7.8283","7.8336","7.8241","-0.00%"
"Jun 13, 2019","7.8283","7.8244","7.8298","7.8181","0.05%"
"Jun 12, 2019","7.8242","7.8368","7.8380","7.8163","-0.16%"
"Jun 11, 2019","7.8368","7.8430","7.8433","7.8342","-0.08%"
"Jun 10, 2019","7.8430","7.8418","7.8447","7.8407","0.01%"
"Jun 07, 2019","7.8420","7.8408","7.8427","7.8395","0.02%"
"Jun 06, 2019","7.8406","7.8418","7.8422","7.8392","-0.01%"
"Jun 05, 2019","7.8417","7.8417","7.8428","7.8390","0.00%"
"Jun 04, 2019","7.8417","7.8366","7.8428","7.8361","0.07%"
"Jun 03, 2019","7.8365","7.8398","7.8416","7.8335","-0.03%"
"May 31, 2019","7.8385","7.8481","7.8487","7.8383","-0.12%"
"May 30, 2019","7.8477","7.8495","7.8499","7.8471","-0.02%"
"May 29, 2019","7.8492","7.8490","7.8501","7.8487","0.00%"
"May 28, 2019","7.8490","7.8497","7.8502","7.8482","-0.01%"
"May 27, 2019","7.8494","7.8492","7.8500","7.8483","0.00%"
"May 24, 2019","7.8492","7.8491","7.8498","7.8476","0.00%"
"May 23, 2019","7.8491","7.8496","7.8496","7.8473","-0.01%"
"May 22, 2019","7.8498","7.8494","7.8501","7.8488","0.00%"
"May 21, 2019","7.8495","7.8496","7.8501","7.8483","-0.00%"
"May 20, 2019","7.8498","7.8495","7.8501","7.8479","0.00%"
"May 17, 2019","7.8498","7.8494","7.8501","7.8488","0.00%"
"May 16, 2019","7.8495","7.8492","7.8498","7.8483","0.00%"
"May 15, 2019","7.8494","7.8491","7.8502","7.8487","0.00%"
"May 14, 2019","7.8494","7.8495","7.8499","7.8486","0.00%"
"May 13, 2019","7.8494","7.8487","7.8495","7.8479","0.01%"
"May 10, 2019","7.8487","7.8483","7.8491","7.8473","0.01%"
"May 09, 2019","7.8483","7.8488","7.8492","7.8475","-0.01%"
"May 08, 2019","7.8492","7.8483","7.8495","7.8479","0.01%"
"May 07, 2019","7.8484","7.8459","7.8487","7.8453","0.03%"
"May 06, 2019","7.8460","7.8452","7.8465","7.8438","0.01%"
"May 03, 2019","7.8452","7.8430","7.8456","7.8426","0.03%"
"May 02, 2019","7.8430","7.8454","7.8459","7.8426","-0.03%"
"May 01, 2019","7.8453","7.8445","7.8459","7.8441","0.01%"
"Apr 30, 2019","7.8446","7.8434","7.8460","7.8433","0.02%"
"Apr 29, 2019","7.8434","7.8431","7.8449","7.8430","0.00%"
"Apr 26, 2019","7.8434","7.8442","7.8455","7.8428","-0.01%"
"Apr 25, 2019","7.8440","7.8427","7.8453","7.8406","0.02%"
"Apr 24, 2019","7.8425","7.8419","7.8435","7.8391","0.01%"
"Apr 23, 2019","7.8421","7.8445","7.8464","7.8416","-0.03%"
"Apr 22, 2019","7.8447","7.8440","7.8461","7.8438","0.01%"
"Apr 19, 2019","7.8441","7.8460","7.8460","7.8435","-0.02%"
"Apr 18, 2019","7.8460","7.8453","7.8467","7.8438","0.01%"
"Apr 17, 2019","7.8453","7.8429","7.8460","7.8425","0.03%"
"Apr 16, 2019","7.8427","7.8398","7.8441","7.8376","0.04%"
"Apr 15, 2019","7.8399","7.8429","7.8453","7.8373","-0.04%"
"Apr 12, 2019","7.8429","7.8426","7.8473","7.8395","0.00%"
"Apr 11, 2019","7.8426","7.8365","7.8449","7.8360","0.08%"
"Apr 10, 2019","7.8366","7.8414","7.8426","7.8301","-0.06%"
"Apr 09, 2019","7.8415","7.8471","7.8476","7.8407","-0.07%"
"Apr 08, 2019","7.8471","7.8492","7.8498","7.8450","-0.03%"
"Apr 05, 2019","7.8494","7.8492","7.8501","7.8486","0.00%"
"Apr 04, 2019","7.8491","7.8491","7.8495","7.8475","-0.01%"
